"filename", "language", "JavaScript", "JSON", "TypeScript", "Dotenv", "source.markdown.math", "TypeScript JSX", "JSON with Comments", "PostCSS", "HTML", "Shell Script", "XML", "pgsql", "Home Assistant", "Docker", "Properties", "comment", "blank", "total"
"c:\Projects\websites\dev-x-academy-web\.devcontainer\.env", "Dotenv", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\Projects\websites\dev-x-academy-web\.devcontainer\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 9, 6, 91
"c:\Projects\websites\dev-x-academy-web\.devcontainer\config\postgres\init-user-db.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 24, 8, 62
"c:\Projects\websites\dev-x-academy-web\.devcontainer\config\postgres\postgresql.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 13, 10, 58
"c:\Projects\websites\dev-x-academy-web\.devcontainer\devcontainer.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 128
"c:\Projects\websites\dev-x-academy-web\.devcontainer\docker-compose.yml", "Home Assistant", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 27, 11, 121
"c:\Projects\websites\dev-x-academy-web\.devcontainer\post-create.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 14, 9, 75
"c:\Projects\websites\dev-x-academy-web\.devcontainer\post-start.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 5, 16
"c:\Projects\websites\dev-x-academy-web\.env", "Dotenv", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 29
"c:\Projects\websites\dev-x-academy-web\.markdownlint.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Projects\websites\dev-x-academy-web\.ncurc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Projects\websites\dev-x-academy-web\.prettierrc", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Projects\websites\dev-x-academy-web\README.md", "source.markdown.math", 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 323
"c:\Projects\websites\dev-x-academy-web\bun.lock", "JSON with Comments", 0, 0, 0, 0, 0, 0, 785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 734, 1519
"c:\Projects\websites\dev-x-academy-web\cache\config.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Projects\websites\dev-x-academy-web\components.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Projects\websites\dev-x-academy-web\doc\api-endpoints.md", "source.markdown.math", 0, 0, 0, 0, 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 672
"c:\Projects\websites\dev-x-academy-web\doc\api-implementation-guide.md", "source.markdown.math", 0, 0, 0, 0, 563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 699
"c:\Projects\websites\dev-x-academy-web\doc\api_tests.md", "source.markdown.math", 0, 0, 0, 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 493
"c:\Projects\websites\dev-x-academy-web\doc\api_tests_quick_ref.md", "source.markdown.math", 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 335
"c:\Projects\websites\dev-x-academy-web\doc\authentication-and-user-profiles.md", "source.markdown.math", 0, 0, 0, 0, 1085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 1354
"c:\Projects\websites\dev-x-academy-web\doc\authentication-guide.md", "source.markdown.math", 0, 0, 0, 0, 494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 656
"c:\Projects\websites\dev-x-academy-web\doc\legal-pages-integration-guide.md", "source.markdown.math", 0, 0, 0, 0, 686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 819
