Date : 2026-01-13 21:55:20
Directory : /workspaces/devmultiplier-academy
Total : 356 files,  76787 codes, 4537 comments, 18972 blanks, all 100296 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
+----------------------+------------+------------+------------+------------+------------+
| source.markdown.math |        163 |     52,787 |          0 |     14,691 |     67,478 |
| TypeScript           |         83 |      8,107 |      2,447 |      1,626 |     12,180 |
| TypeScript JSX       |         46 |      7,186 |        327 |        809 |      8,322 |
| JSON                 |         14 |      4,193 |          0 |         14 |      4,207 |
| Shell Script         |         14 |      1,665 |      1,408 |        467 |      3,540 |
| JSON with Comments   |          4 |      1,256 |         76 |      1,047 |      2,379 |
| YAML                 |         10 |        426 |         70 |         56 |        552 |
| Prisma               |          1 |        351 |          3 |         45 |        399 |
| PostCSS              |          2 |        262 |         11 |         52 |        325 |
| pgsql                |          9 |        250 |         71 |         88 |        409 |
| Properties           |          3 |         93 |         85 |         38 |        216 |
| Docker               |          1 |         92 |         17 |         13 |        122 |
| JavaScript           |          3 |         68 |          3 |          8 |         79 |
| PowerShell           |          1 |         37 |         13 |         12 |         62 |
| XML                  |          2 |         14 |          6 |          6 |         26 |
+----------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        356 |     76,787 |      4,537 |     18,972 |    100,296 |
| . (Files)                                                                                                           |         23 |      2,209 |        168 |      1,294 |      3,671 |
| .claude                                                                                                             |         38 |      8,577 |          0 |      2,416 |     10,993 |
| .claude (Files)                                                                                                     |          2 |         92 |          0 |          2 |         94 |
| .claude/agents                                                                                                      |          9 |      2,518 |          0 |        606 |      3,124 |
| .claude/commands                                                                                                    |         11 |      1,967 |          0 |        678 |      2,645 |
| .claude/output-styles                                                                                               |          1 |        316 |          0 |         83 |        399 |
| .claude/rules                                                                                                       |          8 |      1,725 |          0 |        540 |      2,265 |
| .claude/skills                                                                                                      |          7 |      1,959 |          0 |        507 |      2,466 |
| .claude/skills/api-scaffolding                                                                                      |          1 |        260 |          0 |         69 |        329 |
| .claude/skills/component-generator                                                                                  |          1 |        276 |          0 |         61 |        337 |
| .claude/skills/database-optimization                                                                                |          1 |        261 |          0 |         56 |        317 |
| .claude/skills/error-setup                                                                                          |          1 |        388 |          0 |         93 |        481 |
| .claude/skills/migration-planner                                                                                    |          1 |        257 |          0 |         82 |        339 |
| .claude/skills/test-generator                                                                                       |          1 |        309 |          0 |         89 |        398 |
| .claude/skills/translation-sync                                                                                     |          1 |        208 |          0 |         57 |        265 |
| .devcontainer                                                                                                       |         21 |      3,348 |      1,321 |        411 |      5,080 |
| .devcontainer (Files)                                                                                               |          8 |        642 |        148 |        124 |        914 |
| .devcontainer/config                                                                                                |          3 |        514 |      1,133 |        193 |      1,840 |
| .devcontainer/config/postgres                                                                                       |          2 |         65 |         37 |         18 |        120 |
| .devcontainer/config/zsh                                                                                            |          1 |        449 |      1,096 |        175 |      1,720 |
| .devcontainer/grafana                                                                                               |          7 |      2,075 |          0 |         67 |      2,142 |
| .devcontainer/grafana (Files)                                                                                       |          1 |        138 |          0 |         58 |        196 |
| .devcontainer/grafana/dashboards                                                                                    |          3 |      1,894 |          0 |          3 |      1,897 |
| .devcontainer/grafana/provisioning                                                                                  |          3 |         43 |          0 |          6 |         49 |
| .devcontainer/grafana/provisioning/dashboards                                                                       |          1 |         12 |          0 |          2 |         14 |
| .devcontainer/grafana/provisioning/datasources                                                                      |          2 |         31 |          0 |          4 |         35 |
| .devcontainer/otel-collector                                                                                        |          1 |         47 |          9 |         12 |         68 |
| .devcontainer/prometheus                                                                                            |          1 |         29 |         29 |          7 |         65 |
| .devcontainer/tempo                                                                                                 |          1 |         41 |          2 |          8 |         51 |
| .github                                                                                                             |         55 |      5,801 |          9 |      1,577 |      7,387 |
| .github/.schemas                                                                                                    |          1 |         93 |          0 |          1 |         94 |
| .github/agents                                                                                                      |         11 |      1,094 |          0 |        321 |      1,415 |
| .github/chatmodes                                                                                                   |          3 |        126 |          0 |         49 |        175 |
| .github/collections                                                                                                 |          7 |        157 |          6 |         36 |        199 |
| .github/instructions                                                                                                |         12 |      1,657 |          0 |        450 |      2,107 |
| .github/prompts                                                                                                     |         20 |      2,671 |          0 |        716 |      3,387 |
| .github/scripts                                                                                                     |          1 |          3 |          3 |          4 |         10 |
| cache                                                                                                               |          1 |          6 |          0 |          0 |          6 |
| course-content                                                                                                      |         28 |     18,529 |          0 |      4,088 |     22,617 |
| course-content/ddd-to-cqrs                                                                                          |         28 |     18,529 |          0 |      4,088 |     22,617 |
| course-content/ddd-to-cqrs (Files)                                                                                  |          4 |        807 |          0 |        237 |      1,044 |
| course-content/ddd-to-cqrs/module-1                                                                                 |          4 |      1,810 |          0 |        455 |      2,265 |
| course-content/ddd-to-cqrs/module-2                                                                                 |          5 |      2,838 |          0 |        564 |      3,402 |
| course-content/ddd-to-cqrs/module-3                                                                                 |          5 |      4,459 |          0 |        975 |      5,434 |
| course-content/ddd-to-cqrs/module-4                                                                                 |          4 |      3,326 |          0 |        701 |      4,027 |
| course-content/ddd-to-cqrs/module-5                                                                                 |          3 |      2,132 |          0 |        473 |      2,605 |
| course-content/ddd-to-cqrs/module-6                                                                                 |          3 |      3,157 |          0 |        683 |      3,840 |
| docs                                                                                                                |         40 |     18,970 |          0 |      6,168 |     25,138 |
| e2e                                                                                                                 |          6 |        155 |         16 |         35 |        206 |
| grafana-cloud                                                                                                       |          5 |      2,198 |         30 |         81 |      2,309 |
| grafana-cloud (Files)                                                                                               |          1 |        151 |          0 |         50 |        201 |
| grafana-cloud/dashboards                                                                                            |          3 |      1,928 |          0 |          3 |      1,931 |
| grafana-cloud/scripts                                                                                               |          1 |        119 |         30 |         28 |        177 |
| prisma                                                                                                              |         10 |        601 |         74 |        133 |        808 |
| prisma (Files)                                                                                                      |          1 |        351 |          3 |         45 |        399 |
| prisma/migrations                                                                                                   |          9 |        250 |         71 |         88 |        409 |
| prisma/migrations/20260103230420_init                                                                               |          1 |        175 |         52 |         65 |        292 |
| prisma/migrations/20260105155934_add_login_logs                                                                     |          1 |         20 |          5 |          6 |         31 |
| prisma/migrations/20260105161426_add_isadmin_field                                                                  |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20260107125107_add_password_reset_tokens                                                          |          1 |         13 |          5 |          6 |         24 |
| prisma/migrations/20260107130350_add_user_preferences                                                               |          1 |          7 |          1 |          1 |          9 |
| prisma/migrations/20260107133659_add_session_tracking                                                               |          1 |          5 |          1 |          3 |          9 |
| prisma/migrations/20260107142548_add_email_change_tokens                                                            |          1 |          2 |          2 |          2 |          6 |
| prisma/migrations/20260107_add_email_change_tokens                                                                  |          1 |         14 |          2 |          2 |         18 |
| prisma/migrations/20260107_add_session_tracking                                                                     |          1 |         13 |          2 |          2 |         17 |
| public                                                                                                              |          2 |         14 |          6 |          6 |         26 |
| scripts                                                                                                             |         15 |      1,750 |        355 |        493 |      2,598 |
| src                                                                                                                 |        112 |     14,629 |      2,558 |      2,270 |     19,457 |
| src (Files)                                                                                                         |          3 |        356 |         37 |         42 |        435 |
| src/__tests__                                                                                                       |          2 |        114 |          6 |         17 |        137 |
| src/app                                                                                                             |         67 |      8,829 |        517 |      1,246 |     10,592 |
| src/app (Files)                                                                                                     |          6 |        192 |          9 |         24 |        225 |
| src/app/(auth)                                                                                                      |          7 |      1,122 |         63 |        123 |      1,308 |
| src/app/(auth) (Files)                                                                                              |          1 |          5 |          0 |          3 |          8 |
| src/app/(auth)/forgot-password                                                                                      |          1 |        119 |          8 |         15 |        142 |
| src/app/(auth)/login                                                                                                |          1 |        340 |         22 |         29 |        391 |
| src/app/(auth)/register                                                                                             |          1 |        244 |         13 |         27 |        284 |
| src/app/(auth)/reset-password                                                                                       |          1 |        219 |         14 |         25 |        258 |
| src/app/(auth)/verify-email                                                                                         |          1 |        130 |          1 |         13 |        144 |
| src/app/(auth)/verify-email-sent                                                                                    |          1 |         65 |          5 |         11 |         81 |
| src/app/(protected)                                                                                                 |          6 |      1,954 |         63 |        196 |      2,213 |
| src/app/(protected) (Files)                                                                                         |          1 |          5 |          0 |          3 |          8 |
| src/app/(protected)/admin                                                                                           |          1 |        283 |          4 |         20 |        307 |
| src/app/(protected)/admin/logins                                                                                    |          1 |        283 |          4 |         20 |        307 |
| src/app/(protected)/dashboard                                                                                       |          1 |         95 |          5 |         13 |        113 |
| src/app/(protected)/enrollments                                                                                     |          1 |         49 |          3 |         10 |         62 |
| src/app/(protected)/profile                                                                                         |          1 |      1,331 |         48 |        131 |      1,510 |
| src/app/(protected)/security                                                                                        |          1 |        191 |          3 |         19 |        213 |
| src/app/about                                                                                                       |          1 |         79 |          5 |          8 |         92 |
| src/app/api                                                                                                         |         36 |      3,095 |        261 |        605 |      3,961 |
| src/app/api/__tests__                                                                                               |          6 |        793 |         32 |        168 |        993 |
| src/app/api/admin                                                                                                   |          1 |         36 |          3 |          6 |         45 |
| src/app/api/admin/login-logs                                                                                        |          1 |         36 |          3 |          6 |         45 |
| src/app/api/auth                                                                                                    |          8 |        419 |         38 |         86 |        543 |
| src/app/api/auth/[...nextauth]                                                                                      |          1 |          2 |          0 |          2 |          4 |
| src/app/api/auth/check-verification                                                                                 |          1 |         27 |          4 |          8 |         39 |
| src/app/api/auth/forgot-password                                                                                    |          1 |        117 |         10 |         13 |        140 |
| src/app/api/auth/logout                                                                                             |          1 |         12 |          1 |          4 |         17 |
| src/app/api/auth/register                                                                                           |          1 |         67 |          6 |         13 |         86 |
| src/app/api/auth/resend-verification                                                                                |          1 |         63 |          6 |         15 |         84 |
| src/app/api/auth/reset-password                                                                                     |          1 |         82 |          6 |         20 |        108 |
| src/app/api/auth/verify-email                                                                                       |          1 |         49 |          5 |         11 |         65 |
| src/app/api/checkout                                                                                                |          1 |        127 |         12 |         33 |        172 |
| src/app/api/checkout/session                                                                                        |          1 |        127 |         12 |         33 |        172 |
| src/app/api/contact                                                                                                 |          1 |         23 |          0 |          6 |         29 |
| src/app/api/courses                                                                                                 |          2 |        190 |          4 |         14 |        208 |
| src/app/api/courses (Files)                                                                                         |          1 |         60 |          2 |          6 |         68 |
| src/app/api/courses/[id]                                                                                            |          1 |        130 |          2 |          8 |        140 |
| src/app/api/enrollments                                                                                             |          2 |        187 |         14 |         32 |        233 |
| src/app/api/enrollments (Files)                                                                                     |          1 |        117 |         13 |         21 |        151 |
| src/app/api/enrollments/[id]                                                                                        |          1 |         70 |          1 |         11 |         82 |
| src/app/api/metrics                                                                                                 |          1 |         28 |         10 |          7 |         45 |
| src/app/api/progress                                                                                                |          3 |        376 |         29 |         56 |        461 |
| src/app/api/progress/[courseId]                                                                                     |          3 |        376 |         29 |         56 |        461 |
| src/app/api/progress/[courseId] (Files)                                                                             |          1 |         98 |          5 |         14 |        117 |
| src/app/api/progress/[courseId]/lesson                                                                              |          1 |        147 |         14 |         22 |        183 |
| src/app/api/progress/[courseId]/module                                                                              |          1 |        131 |         10 |         20 |        161 |
| src/app/api/subscriptions                                                                                           |          2 |        104 |         20 |         23 |        147 |
| src/app/api/subscriptions (Files)                                                                                   |          1 |         38 |          8 |          7 |         53 |
| src/app/api/subscriptions/cancel                                                                                    |          1 |         66 |         12 |         16 |         94 |
| src/app/api/user                                                                                                    |          8 |        545 |         40 |        117 |        702 |
| src/app/api/user/avatar                                                                                             |          1 |         87 |         12 |         24 |        123 |
| src/app/api/user/delete                                                                                             |          1 |         50 |          3 |         14 |         67 |
| src/app/api/user/email                                                                                              |          2 |        174 |         12 |         33 |        219 |
| src/app/api/user/email/request-change                                                                               |          1 |         81 |          7 |         16 |        104 |
| src/app/api/user/email/verify-change                                                                                |          1 |         93 |          5 |         17 |        115 |
| src/app/api/user/language                                                                                           |          1 |         40 |          0 |         10 |         50 |
| src/app/api/user/login-history                                                                                      |          1 |         23 |          2 |          7 |         32 |
| src/app/api/user/profile                                                                                            |          1 |        113 |          0 |         14 |        127 |
| src/app/api/user/sessions                                                                                           |          1 |         58 |         11 |         15 |         84 |
| src/app/api/webhooks                                                                                                |          1 |        267 |         59 |         57 |        383 |
| src/app/api/webhooks/stripe                                                                                         |          1 |        267 |         59 |         57 |        383 |
| src/app/checkout                                                                                                    |          2 |        133 |         13 |         26 |        172 |
| src/app/checkout/cancel                                                                                             |          1 |         38 |          5 |          8 |         51 |
| src/app/checkout/success                                                                                            |          1 |         95 |          8 |         18 |        121 |
| src/app/contact                                                                                                     |          1 |        236 |          3 |         15 |        254 |
| src/app/courses                                                                                                     |          4 |      1,017 |         58 |        133 |      1,208 |
| src/app/courses (Files)                                                                                             |          1 |        111 |          6 |         10 |        127 |
| src/app/courses/[id]                                                                                                |          3 |        906 |         52 |        123 |      1,081 |
| src/app/courses/[id] (Files)                                                                                        |          1 |        368 |         26 |         40 |        434 |
| src/app/courses/[id]/[moduleId]                                                                                     |          2 |        538 |         26 |         83 |        647 |
| src/app/courses/[id]/[moduleId]/[lessonId]                                                                          |          2 |        538 |         26 |         83 |        647 |
| src/app/pricing                                                                                                     |          1 |         62 |          1 |          6 |         69 |
| src/app/privacy-policy                                                                                              |          1 |        419 |         20 |         44 |        483 |
| src/app/terms-of-service                                                                                            |          1 |        408 |         20 |         52 |        480 |
| src/app/verify-email-change                                                                                         |          1 |        112 |          1 |         14 |        127 |
| src/components                                                                                                      |         15 |      1,574 |         67 |        192 |      1,833 |
| src/components/layout                                                                                               |          3 |        252 |          9 |         19 |        280 |
| src/components/sections                                                                                             |          4 |        418 |         27 |         45 |        490 |
| src/components/ui                                                                                                   |          8 |        904 |         31 |        128 |      1,063 |
| src/components/ui (Files)                                                                                           |          7 |        884 |         31 |        123 |      1,038 |
| src/components/ui/__tests__                                                                                         |          1 |         20 |          0 |          5 |         25 |
| src/contexts                                                                                                        |          2 |        140 |         15 |         28 |        183 |
| src/lib                                                                                                             |         23 |      3,616 |      1,916 |        745 |      6,277 |
| src/lib (Files)                                                                                                     |         21 |      3,547 |      1,913 |        730 |      6,190 |
| src/lib/__tests__                                                                                                   |          2 |         69 |          3 |         15 |         87 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
| filename                                                                                                            | language             | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
| /workspaces/devmultiplier-academy/.claude/agents/accessibility-auditor.md                                           | source.markdown.math |        372 |          0 |         76 |        448 |
| /workspaces/devmultiplier-academy/.claude/agents/api-developer.md                                                   | source.markdown.math |        211 |          0 |         43 |        254 |
| /workspaces/devmultiplier-academy/.claude/agents/dba.md                                                             | source.markdown.math |        208 |          0 |         63 |        271 |
| /workspaces/devmultiplier-academy/.claude/agents/devops-engineer.md                                                 | source.markdown.math |        333 |          0 |         89 |        422 |
| /workspaces/devmultiplier-academy/.claude/agents/error-detective.md                                                 | source.markdown.math |        201 |          0 |         66 |        267 |
| /workspaces/devmultiplier-academy/.claude/agents/frontend-developer.md                                              | source.markdown.math |        283 |          0 |         55 |        338 |
| /workspaces/devmultiplier-academy/.claude/agents/i18n-specialist.md                                                 | source.markdown.math |        304 |          0 |         57 |        361 |
| /workspaces/devmultiplier-academy/.claude/agents/performance-analyst.md                                             | source.markdown.math |        281 |          0 |         79 |        360 |
| /workspaces/devmultiplier-academy/.claude/agents/security-reviewer.md                                               | source.markdown.math |        325 |          0 |         78 |        403 |
| /workspaces/devmultiplier-academy/.claude/commands/api-test.md                                                      | source.markdown.math |        160 |          0 |         61 |        221 |
| /workspaces/devmultiplier-academy/.claude/commands/commit.md                                                        | source.markdown.math |        125 |          0 |         43 |        168 |
| /workspaces/devmultiplier-academy/.claude/commands/deploy.md                                                        | source.markdown.math |        205 |          0 |         80 |        285 |
| /workspaces/devmultiplier-academy/.claude/commands/env-check.md                                                     | source.markdown.math |        208 |          0 |         63 |        271 |
| /workspaces/devmultiplier-academy/.claude/commands/i18n-check.md                                                    | source.markdown.math |        187 |          0 |         59 |        246 |
| /workspaces/devmultiplier-academy/.claude/commands/logs.md                                                          | source.markdown.math |        144 |          0 |         62 |        206 |
| /workspaces/devmultiplier-academy/.claude/commands/metrics.md                                                       | source.markdown.math |        189 |          0 |         78 |        267 |
| /workspaces/devmultiplier-academy/.claude/commands/migrate.md                                                       | source.markdown.math |        180 |          0 |         63 |        243 |
| /workspaces/devmultiplier-academy/.claude/commands/pr.md                                                            | source.markdown.math |        168 |          0 |         82 |        250 |
| /workspaces/devmultiplier-academy/.claude/commands/review.md                                                        | source.markdown.math |        112 |          0 |         44 |        156 |
| /workspaces/devmultiplier-academy/.claude/commands/seed.md                                                          | source.markdown.math |        289 |          0 |         43 |        332 |
| /workspaces/devmultiplier-academy/.claude/output-styles/technical-writer.md                                         | source.markdown.math |        316 |          0 |         83 |        399 |
| /workspaces/devmultiplier-academy/.claude/rules/api-routes.md                                                       | source.markdown.math |        150 |          0 |         47 |        197 |
| /workspaces/devmultiplier-academy/.claude/rules/components.md                                                       | source.markdown.math |        201 |          0 |         56 |        257 |
| /workspaces/devmultiplier-academy/.claude/rules/error-handling.md                                                   | source.markdown.math |        220 |          0 |         63 |        283 |
| /workspaces/devmultiplier-academy/.claude/rules/i18n.md                                                             | source.markdown.math |        206 |          0 |         60 |        266 |
| /workspaces/devmultiplier-academy/.claude/rules/prisma.md                                                           | source.markdown.math |        239 |          0 |         56 |        295 |
| /workspaces/devmultiplier-academy/.claude/rules/security.md                                                         | source.markdown.math |        191 |          0 |         71 |        262 |
| /workspaces/devmultiplier-academy/.claude/rules/testing.md                                                          | source.markdown.math |        309 |          0 |        104 |        413 |
| /workspaces/devmultiplier-academy/.claude/rules/typescript.md                                                       | source.markdown.math |        209 |          0 |         83 |        292 |
| /workspaces/devmultiplier-academy/.claude/settings.json                                                             | JSON with Comments   |          7 |          0 |          1 |          8 |
| /workspaces/devmultiplier-academy/.claude/settings.local.json                                                       | JSON                 |         85 |          0 |          1 |         86 |
| /workspaces/devmultiplier-academy/.claude/skills/api-scaffolding/SKILL.md                                           | source.markdown.math |        260 |          0 |         69 |        329 |
| /workspaces/devmultiplier-academy/.claude/skills/component-generator/SKILL.md                                       | source.markdown.math |        276 |          0 |         61 |        337 |
| /workspaces/devmultiplier-academy/.claude/skills/database-optimization/SKILL.md                                     | source.markdown.math |        261 |          0 |         56 |        317 |
| /workspaces/devmultiplier-academy/.claude/skills/error-setup/SKILL.md                                               | source.markdown.math |        388 |          0 |         93 |        481 |
| /workspaces/devmultiplier-academy/.claude/skills/migration-planner/SKILL.md                                         | source.markdown.math |        257 |          0 |         82 |        339 |
| /workspaces/devmultiplier-academy/.claude/skills/test-generator/SKILL.md                                            | source.markdown.math |        309 |          0 |         89 |        398 |
| /workspaces/devmultiplier-academy/.claude/skills/translation-sync/SKILL.md                                          | source.markdown.math |        208 |          0 |         57 |        265 |
| /workspaces/devmultiplier-academy/.devcontainer/.env                                                                | Properties           |         30 |          9 |          6 |         45 |
| /workspaces/devmultiplier-academy/.devcontainer/Dockerfile                                                          | Docker               |         92 |         17 |         13 |        122 |
| /workspaces/devmultiplier-academy/.devcontainer/config/postgres/init-user-db.sh                                     | Shell Script         |         30 |         24 |          8 |         62 |
| /workspaces/devmultiplier-academy/.devcontainer/config/postgres/postgresql.conf                                     | Properties           |         35 |         13 |         10 |         58 |
| /workspaces/devmultiplier-academy/.devcontainer/config/zsh/.p10k.zsh                                                | Shell Script         |        449 |      1,096 |        175 |      1,720 |
| /workspaces/devmultiplier-academy/.devcontainer/devcontainer.json                                                   | JSON with Comments   |        125 |         76 |         23 |        224 |
| /workspaces/devmultiplier-academy/.devcontainer/docker-compose.yml                                                  | YAML                 |        184 |         24 |         15 |        223 |
| /workspaces/devmultiplier-academy/.devcontainer/grafana/README.md                                                   | source.markdown.math |        138 |          0 |         58 |        196 |
| /workspaces/devmultiplier-academy/.devcontainer/grafana/dashboards/application-overview.json                        | JSON                 |        562 |          0 |          1 |        563 |
| /workspaces/devmultiplier-academy/.devcontainer/grafana/dashboards/performance-metrics.json                         | JSON                 |        652 |          0 |          1 |        653 |
| /workspaces/devmultiplier-academy/.devcontainer/grafana/dashboards/security-monitoring.json                         | JSON                 |        680 |          0 |          1 |        681 |
| /workspaces/devmultiplier-academy/.devcontainer/grafana/provisioning/dashboards/dashboards.yml                      | YAML                 |         12 |          0 |          2 |         14 |
| /workspaces/devmultiplier-academy/.devcontainer/grafana/provisioning/datasources/prometheus.yml                     | YAML                 |         12 |          0 |          2 |         14 |
| /workspaces/devmultiplier-academy/.devcontainer/grafana/provisioning/datasources/tempo.yml                          | YAML                 |         19 |          0 |          2 |         21 |
| /workspaces/devmultiplier-academy/.devcontainer/observability-setup.md                                              | source.markdown.math |        108 |          0 |         41 |        149 |
| /workspaces/devmultiplier-academy/.devcontainer/otel-collector/otel-collector-config.yml                            | YAML                 |         47 |          9 |         12 |         68 |
| /workspaces/devmultiplier-academy/.devcontainer/post-create.sh                                                      | Shell Script         |         71 |         13 |         13 |         97 |
| /workspaces/devmultiplier-academy/.devcontainer/post-start.sh                                                       | Shell Script         |          9 |          2 |          5 |         16 |
| /workspaces/devmultiplier-academy/.devcontainer/prometheus/prometheus.yml                                           | YAML                 |         29 |         29 |          7 |         65 |
| /workspaces/devmultiplier-academy/.devcontainer/restart-observability.sh                                            | Shell Script         |         23 |          7 |          8 |         38 |
| /workspaces/devmultiplier-academy/.devcontainer/tempo/tempo.yml                                                     | YAML                 |         41 |          2 |          8 |         51 |
| /workspaces/devmultiplier-academy/.env                                                                              | Properties           |         28 |         63 |         22 |        113 |
| /workspaces/devmultiplier-academy/.github/.schemas/collection.schema.json                                           | JSON                 |         93 |          0 |          1 |         94 |
| /workspaces/devmultiplier-academy/.github/agents/CSharpExpert.agent.md                                              | source.markdown.math |        147 |          0 |         60 |        207 |
| /workspaces/devmultiplier-academy/.github/agents/api-architect.agent.md                                             | source.markdown.math |         42 |          0 |         10 |         52 |
| /workspaces/devmultiplier-academy/.github/agents/clojure-interactive-programming.agent.md                           | source.markdown.math |        150 |          0 |         46 |        196 |
| /workspaces/devmultiplier-academy/.github/agents/csharp-dotnet-janitor.agent.md                                     | source.markdown.math |         65 |          0 |         25 |         90 |
| /workspaces/devmultiplier-academy/.github/agents/csharp-mcp-expert.agent.md                                         | source.markdown.math |        102 |          0 |         23 |        125 |
| /workspaces/devmultiplier-academy/.github/agents/expert-dotnet-software-engineer.agent.md                           | source.markdown.math |         21 |          0 |          9 |         30 |
| /workspaces/devmultiplier-academy/.github/agents/expert-nextjs-developer.agent.md                                   | source.markdown.math |        394 |          0 |         89 |        483 |
| /workspaces/devmultiplier-academy/.github/agents/microsoft-agent-framework-dotnet.agent.md                          | source.markdown.math |         45 |          0 |         23 |         68 |
| /workspaces/devmultiplier-academy/.github/agents/ms-sql-dba.agent.md                                                | source.markdown.math |         26 |          0 |         10 |         36 |
| /workspaces/devmultiplier-academy/.github/agents/postgresql-dba.agent.md                                            | source.markdown.math |         19 |          0 |          8 |         27 |
| /workspaces/devmultiplier-academy/.github/agents/typescript-mcp-expert.agent.md                                     | source.markdown.math |         83 |          0 |         18 |        101 |
| /workspaces/devmultiplier-academy/.github/chatmodes/csharp-dotnet-janitor.chatmode.md                               | source.markdown.math |         68 |          0 |         27 |         95 |
| /workspaces/devmultiplier-academy/.github/chatmodes/ms-sql-dba.chatmode.md                                          | source.markdown.math |         24 |          0 |          8 |         32 |
| /workspaces/devmultiplier-academy/.github/chatmodes/principal-software-engineer.chatmode.md                         | source.markdown.math |         34 |          0 |         14 |         48 |
| /workspaces/devmultiplier-academy/.github/collections/csharp-dotnet-development.collection.yml                      | YAML                 |         22 |          0 |          0 |         22 |
| /workspaces/devmultiplier-academy/.github/collections/csharp-dotnet-development.md                                  | source.markdown.math |         15 |          0 |          7 |         22 |
| /workspaces/devmultiplier-academy/.github/collections/database-data-management.md                                   | source.markdown.math |         18 |          0 |          7 |         25 |
| /workspaces/devmultiplier-academy/.github/collections/frontend-web-dev.collection.yml                               | YAML                 |         30 |          3 |          4 |         37 |
| /workspaces/devmultiplier-academy/.github/collections/frontend-web-dev.md                                           | source.markdown.math |         21 |          0 |          7 |         28 |
| /workspaces/devmultiplier-academy/.github/collections/testing-automation.collection.yml                             | YAML                 |         30 |          3 |          4 |         37 |
| /workspaces/devmultiplier-academy/.github/collections/testing-automation.md                                         | source.markdown.math |         21 |          0 |          7 |         28 |
| /workspaces/devmultiplier-academy/.github/instructions/aspnet-rest-apis.instructions.md                             | source.markdown.math |         86 |          0 |         29 |        115 |
| /workspaces/devmultiplier-academy/.github/instructions/clojure.instructions.md                                      | source.markdown.math |        266 |          0 |         87 |        353 |
| /workspaces/devmultiplier-academy/.github/instructions/csharp-mcp-server.instructions.md                            | source.markdown.math |         87 |          0 |         13 |        100 |
| /workspaces/devmultiplier-academy/.github/instructions/csharp.instructions.md                                       | source.markdown.math |         89 |          0 |         30 |        119 |
| /workspaces/devmultiplier-academy/.github/instructions/devops-core-principles.instructions.md                       | source.markdown.math |        146 |          0 |         26 |        172 |
| /workspaces/devmultiplier-academy/.github/instructions/dotnet-architecture-good-practices.instructions.md           | source.markdown.math |        203 |          0 |         81 |        284 |
| /workspaces/devmultiplier-academy/.github/instructions/markdown.instructions.md                                     | source.markdown.math |        127 |          0 |         27 |        154 |
| /workspaces/devmultiplier-academy/.github/instructions/ms-sql-dba.instructions.md                                   | source.markdown.math |         22 |          0 |          8 |         30 |
| /workspaces/devmultiplier-academy/.github/instructions/nextjs.instructions.md                                       | source.markdown.math |        116 |          0 |         30 |        146 |
| /workspaces/devmultiplier-academy/.github/instructions/sql_to_pg.instructions.md                                    | source.markdown.math |        219 |          0 |         48 |        267 |
| /workspaces/devmultiplier-academy/.github/instructions/typescript-5-es2022.instructions.md                          | source.markdown.math |         85 |          0 |         35 |        120 |
| /workspaces/devmultiplier-academy/.github/instructions/typescript-mcp-server.instructions.md                        | source.markdown.math |        211 |          0 |         36 |        247 |
